celebrity_name,ballroom_partner,season,placement,results,week,total_score,n_judges,max_score,normalized,pct
Riker Lynch,Allison Holker,20,2,2nd Place,4,34.0,4,40,0.85,85.0
Rumer Willis,Valentin Chmerkovskiy,20,1,1st Place,4,35.0,4,40,0.875,87.5
Nastia Liukin,Derek Hough,20,4,Eliminated Week 9,4,36.0,4,40,0.9,90.0
Michael Sam,Peta Murgatroyd,20,10,Eliminated Week 4,4,30.0,4,40,0.75,75.0
Robert Herjavec,Kym Johnson,20,6,Eliminated Week 8,4,34.0,4,40,0.85,85.0
Noah Galloway,Sharna Burgess,20,3,3rd Place,4,32.0,4,40,0.8,80.0
Patti LaBelle,Artem Chigvintsev,20,8,Eliminated Week 6,4,30.0,4,40,0.75,75.0
Chris Soules,Witney Carson,20,5,Eliminated Week 8,4,27.0,4,40,0.675,67.5
Gary Busey,Anna Trebunskaya,21,10,Eliminated Week 4,4,16.0,3,30,0.5333,53.33
Alexa PenaVega,Mark Ballas,21,6,Eliminated Week 9,4,21.0,3,30,0.7,70.0
Carlos PenaVega,Witney Carson,21,4,Eliminated Week 11,4,25.0,3,30,0.8333,83.33
Alek Skarlatos,Lindsay Arnold,21,3,3rd Place,4,24.0,3,30,0.8,80.0
Andy Grammer,Allison Holker,21,7,Eliminated Week 8,4,23.0,3,30,0.7667,76.67
Tamar Braxton,Valentin Chmerkovskiy,21,5,Withdrew,4,27.0,3,30,0.9,90.0
Nick Carter,Sharna Burgess,21,2,2nd Place,4,27.0,3,30,0.9,90.0
Hayes Grier,Emma Slater,21,8,Eliminated Week 7,4,27.0,3,30,0.9,90.0
Bindi Irwin,Derek Hough,21,1,1st Place,4,28.0,3,30,0.9333,93.33
Paula Deen,Louis van Amstel,21,9,Eliminated Week 6,4,18.0,3,30,0.6,60.0
Kim Fields,Sasha Farber,22,8,Eliminated Week 7,4,32.0,4,40,0.8,80.0
Jodie Sweetin,Keo Motsepe,22,6,Eliminated Week 8,4,27.0,4,40,0.675,67.5
Doug Flutie,Karina Smirnoff,22,9,Eliminated Week 6,4,24.0,4,40,0.6,60.0
Von Miller,Witney Carson,22,7,Eliminated Week 7,4,32.0,4,40,0.8,80.0
Antonio Brown,Sharna Burgess,22,5,Eliminated Week 9,4,35.0,4,40,0.875,87.5
Paige VanZant,Mark Ballas,22,2,2nd Place,4,36.0,4,40,0.9,90.0
Nyle DiMarco,Peta Murgatroyd,22,1,1st Place,4,34.0,4,40,0.85,85.0
Ginger Zee,Valentin Chmerkovskiy,22,3,3rd Place,4,36.0,4,40,0.9,90.0
Wanya Morris,Lindsay Arnold,22,4,Eliminated Week 9,4,35.0,4,40,0.875,87.5
Marla Maples,Tony Dovolani,22,10,Eliminated Week 4,4,28.0,4,40,0.7,70.0
Maureen McCormick,Artem Chigvintsev,23,8,Eliminated Week 7,4,24.0,3,30,0.8,80.0
Marilu Henner,Derek Hough,23,6,Eliminated Week 9,4,21.0,3,30,0.7,70.0
Ryan Lochte,Cheryl Burke,23,7,Eliminated Week 8,4,22.0,3,30,0.7333,73.33
Calvin Johnson Jr.,Lindsay Arnold,23,3,3rd Place,4,23.0,3,30,0.7667,76.67
Laurie Hernandez,Valentin Chmerkovskiy,23,1,1st Place,4,30.0,3,30,1.0,100.0
Amber Rose,Maksim Chmerkoskiy,23,9,Eliminated Week 6,4,24.0,3,30,0.8,80.0
James Hinchcliffe,Sharna Burgess,23,2,2nd Place,4,28.0,3,30,0.9333,93.33
Babyface,Allison Holker,23,11,Eliminated Week 4,4,18.0,3,30,0.6,60.0
Vanilla Ice,Witney Carson,23,10,Eliminated Week 4,4,23.0,3,30,0.7667,76.67
Jana Kramer,Gleb Savchenko,23,4,Eliminated Week 11,4,23.0,3,30,0.7667,76.67
Terra Jole,Sasha Farber,23,5,Eliminated Week 10,4,25.0,3,30,0.8333,83.33
Mr. T,Kym Herjavec,24,10,Eliminated Week 4,4,28.0,4,40,0.7,70.0
Heather Morris,Maksim Chmerkoskiy,24,8,Eliminated Week 6,4,35.0,4,40,0.875,87.5
Nancy Kerrigan,Artem Chigvintsev,24,7,Eliminated Week 7,4,33.0,4,40,0.825,82.5
Bonner Bolton,Sharna Burgess,24,5,Eliminated Week 8,4,32.0,4,40,0.8,80.0
Simone Biles,Sasha Farber,24,4,Eliminated Week 9,4,36.0,4,40,0.9,90.0
David Ross,Lindsay Arnold,24,2,2nd Place,4,31.0,4,40,0.775,77.5
Rashad Jennings,Emma Slater,24,1,1st Place,4,39.0,4,40,0.975,97.5
Erika Jayne,Gleb Savchenko,24,9,Eliminated Week 5,4,30.0,4,40,0.75,75.0
Normani,Valentin Chmerkovskiy,24,3,3rd Place,4,32.0,4,40,0.8,80.0
Nick Viall,Peta Murgatroyd,24,6,Eliminated Week 7,4,30.0,4,40,0.75,75.0
Sasha Pieterse,Gleb Savchenko,25,10,Eliminated Week 5,4,24.0,3,30,0.8,80.0
Frankie Muniz,Witney Carson,25,3,3rd Place,4,24.0,3,30,0.8,80.0
Jordan Fisher,Lindsay Arnold,25,1,1st Place,4,29.0,3,30,0.9667,96.67
Derek Fisher,Sharna Burgess,25,11,Eliminated Week 4,4,23.0,3,30,0.7667,76.67
Nikki Bella,Artem Chigvintsev,25,8,Eliminated Week 7,4,24.0,3,30,0.8,80.0
Terrell Owens,Cheryl Burke,25,6,Eliminated Week 8,4,24.0,3,30,0.8,80.0
Victoria Arlen,Valentin Chmerkovskiy,25,5,Eliminated Week 9,4,27.0,3,30,0.9,90.0
Lindsey Stirling,Mark Ballas,25,2,2nd Place,4,26.0,3,30,0.8667,86.67
Nick Lachey,Peta Murgatroyd,25,9,Eliminated Week 6,4,22.0,3,30,0.7333,73.33
Drew Scott,Emma Slater,25,4,Eliminated Week 10,4,24.0,3,30,0.8,80.0
Vanessa Lachey,Maksim Chmerkoskiy,25,7,Eliminated Week 7,4,24.0,3,30,0.8,80.0
Tonya Harding,Sasha Farber,26,3,3rd Place,4,28.0,3,30,0.9333,93.33
Josh Norman,Sharna Burgess,26,2,2nd Place,4,28.5,3,30,0.95,95.0
Adam Rippon,Jenna Johnson,26,1,1st Place,4,29.0,3,30,0.9667,96.67
Juan Pablo Di Pace,Cheryl Burke,27,5,Eliminated Week 8,4,24.0,3,30,0.8,80.0
Evanna Lynch,Keo Motsepe,27,3,3rd Place,4,24.0,3,30,0.8,80.0
John Schneider,Emma Slater,27,8,Eliminated Week 7,4,21.0,3,30,0.7,70.0
Milo Manheim,Witney Carson,27,2,2nd Place,4,29.0,3,30,0.9667,96.67
Mary Lou Retton,Sasha Farber,27,9,Eliminated Week 6,4,26.0,3,30,0.8667,86.67
DeMarcus Ware,Lindsay Arnold,27,7,Eliminated Week 7,4,22.0,3,30,0.7333,73.33
Bobby Bones,Sharna Burgess,27,1,1st Place,4,20.0,3,30,0.6667,66.67
Tinashe,Brandon Armstrong,27,10,Eliminated Week 4,4,26.0,3,30,0.8667,86.67
Alexis Ren,Alan Bersten,27,4,4th Place,4,25.0,3,30,0.8333,83.33
Joe Amabile,Jenna Johnson,27,6,Eliminated Week 8,4,15.0,3,30,0.5,50.0
Kate Flannery,Pasha Pashkov,28,7,Eliminated Week 8,4,26.0,4,40,0.65,65.0
James Van Der Beek,Emma Slater,28,5,Eliminated Week 10,4,28.0,4,40,0.7,70.0
Kel Mitchell,Witney Carson,28,2,2nd Place,4,32.0,4,40,0.8,80.0
Lamar Odom,Peta Murgatroyd,28,10,Eliminated Week 4,4,20.0,4,40,0.5,50.0
Sailor Brinkley-Cook,Valentin Chmerkovskiy,28,9,Eliminated Week 6,4,31.0,4,40,0.775,77.5
Sean Spicer,Lindsay Arnold,28,6,Eliminated Week 9,4,21.0,4,40,0.525,52.5
Lauren Alaina,Gleb Savchenko,28,4,4th Place,4,32.0,4,40,0.8,80.0
Ally Brooke,Sasha Farber,28,3,3rd Place,4,32.0,4,40,0.8,80.0
Karamo Brown,Jenna Johnson,28,8,Eliminated Week 7,4,28.0,4,40,0.7,70.0
Hannah Brown,Alan Bersten,28,1,1st Place,4,32.0,4,40,0.8,80.0
Anne Heche,Keo Motsepe,29,13,Eliminated Week 4,4,21.0,3,30,0.7,70.0
Jesse Metcalfe,Sharna Burgess,29,12,Eliminated Week 5,4,21.0,3,30,0.7,70.0
Chrishell Stause,Gleb Savchenko,29,8,Eliminated Week 8,4,22.0,3,30,0.7333,73.33
Skai Jackson,Alan Bersten,29,5,Eliminated Week 10,4,28.0,3,30,0.9333,93.33
Justina Machado,Sasha Farber,29,4,4th Place,4,24.0,3,30,0.8,80.0
Veron Davis,Peta Murgatroyd,29,11,Eliminated Week 6,4,22.0,3,30,0.7333,73.33
Johnny Weir,Britt Stewart,29,6,Eliminated Week 10,4,24.0,3,30,0.8,80.0
Nev Schulman,Jenna Johnson,29,2,2nd Place,4,24.0,3,30,0.8,80.0
AJ McLean,Cheryl Burke,29,7,Eliminated Week 9,4,24.0,3,30,0.8,80.0
Nelly,Daniella Karagach,29,3,3rd Place,4,21.0,3,30,0.7,70.0
Kaitlyn Bristowe,Artem Chigvintsev,29,1,1st Place,4,25.0,3,30,0.8333,83.33
Monica Aldama,Valentin Chmerkovskiy,29,10,Eliminated Week 7,4,24.0,3,30,0.8,80.0
Jeannie Mai,Brandon Armstrong,29,9,Withdrew,4,21.0,3,30,0.7,70.0
Brian Austin Green,Sharna Burgess,30,13,Eliminated Week 4,4,26.0,4,40,0.65,65.0
Melora Hardin,Artem Chigvintsev,30,6,Eliminated Week 9,4,36.5,4,40,0.9125,91.25
Matt James,Lindsay Arnold,30,12,Eliminated Week 4,4,28.5,4,40,0.7125,71.25
"Mike ""The Miz"" Mizanin",Witney Carson,30,9,Eliminated Week 7,4,32.5,4,40,0.8125,81.25
Suni Lee,Sasha Farber,30,5,Eliminated Week 9,4,34.0,4,40,0.85,85.0
Iman Shumpert,Daniella Karagach,30,1,1st Place,4,31.5,4,40,0.7875,78.75
Cody Rigsby,Cheryl Burke,30,3,3rd Place,4,29.0,4,40,0.725,72.5
Melanie C,Gleb Savchenko,30,11,Eliminated Week 5,4,33.0,4,40,0.825,82.5
Jimmie Allen,Emma Slater,30,7,Eliminated Week 8,4,32.5,4,40,0.8125,81.25
Olivia Jade,Valentin Chmerkovskiy,30,8,Eliminated Week 8,4,35.0,4,40,0.875,87.5
JoJo Siwa,Jenna Johnson,30,2,2nd Place,4,35.0,4,40,0.875,87.5
Kenya Moore,Brandon Armstrong,30,10,Eliminated Week 6,4,29.5,4,40,0.7375,73.75
Amanda Kloots,Alan Bersten,30,4,4th Place,4,34.0,4,40,0.85,85.0
Selma Blair,Sasha Farber,31,12,Withdrew,4,32.0,4,40,0.8,80.0
Joseph Baena,Daniella Karagach,31,11,Eliminated Week 5,4,28.0,4,40,0.7,70.0
Trevor Donovan,Emma Slater,31,6,Eliminated Week 9,4,28.0,4,40,0.7,70.0
Daniel Durant,Britt Stewart,31,5,Eliminated Week 9,4,29.0,4,40,0.725,72.5
Wayne Brady,Witney Carson,31,3,3rd Place,4,36.0,4,40,0.9,90.0
Sam Champion,Cheryl Burke,31,13,Eliminated Week 4,4,25.0,4,40,0.625,62.5
Jessie James Decker,Alan Bersten,31,10,Eliminated Week 6,4,31.0,4,40,0.775,77.5
Jordin Sparks,Brandon Armstrong,31,9,Eliminated Week 7,4,34.0,4,40,0.85,85.0
Heidi D'Amelio,Artem Chigvintsev,31,8,Eliminated Week 8,4,34.0,4,40,0.85,85.0
Charli D'Amelio,Mark Ballas,31,1,1st Place,4,36.0,4,40,0.9,90.0
Vinny Guadagnino,Koko Iwasaki,31,7,Eliminated Week 8,4,29.0,4,40,0.725,72.5
Shangela,Gleb Savchenko,31,4,4th Place,4,32.0,4,40,0.8,80.0
Gabby Windey,Valentin Chmerkovskiy,31,2,2nd Place,4,36.0,4,40,0.9,90.0
Mira Sorvino,Gleb Savchenko,32,10,Eliminated Week 5,4,21.0,3,30,0.7,70.0
Barry Williams,Peta Murgatroyd,32,7,Eliminated Week 8,4,18.0,3,30,0.6,60.0
Alyson Hannigan,Sasha Farber,32,5,5th Place,4,18.0,3,30,0.6,60.0
Xochitl Gomez,Valentin Chmerkovskiy,32,1,1st Place,4,27.0,3,30,0.9,90.0
Adrian Peterson,Britt Stewart,32,11,Eliminated Week 4,4,21.0,3,30,0.7,70.0
Jason Mraz,Daniella Karagach,32,2,2nd Place,4,24.0,3,30,0.8,80.0
Lele Pons,Brandon Armstrong,32,8,Eliminated Week 7,4,22.0,3,30,0.7333,73.33
Harry Jowsey,Rylee Arnold,32,6,Eliminated Week 9,4,21.0,3,30,0.7,70.0
Mauricio Umansky,Emma Slater,32,9,Eliminated Week 6,4,19.0,3,30,0.6333,63.33
Charity Lawson,Artem Chigvintsev,32,4,4th Place,4,24.0,3,30,0.8,80.0
Ariana Madix,Pasha Pashkov,32,3,3rd Place,4,25.0,3,30,0.8333,83.33
Chandler Kinney,Brandon Armstrong,33,3,3rd Place,4,32.0,4,40,0.8,80.0
Dwight Howard ,Daniella Karagach,33,6,Eliminated Week 7,4,29.0,4,40,0.725,72.5
Danny Amendola,Witney Carson,33,5,5th Place,4,36.0,4,40,0.9,90.0
Stephen Nedoroscik,Rylee Arnold,33,4,4th Place,4,33.0,4,40,0.825,82.5
Ilona Maher,Alan Bersten,33,2,2nd Place,4,32.0,4,40,0.8,80.0
Brooks Nader,Gleb Savchenko,33,9,Eliminated Week 4,4,32.0,4,40,0.8,80.0
Phaedra Parks,Val Chmerkovskiy,33,8,Eliminated Week 5,4,32.0,4,40,0.8,80.0
Jenn Tran,Sasha Farber,33,7,Eliminated Week 6,4,32.0,4,40,0.8,80.0
Joey Graziadei,Jenna Johnson,33,1,1st Place,4,36.0,4,40,0.9,90.0
Danielle Fishel,Pasha Pashkov,34,8,Eliminated Week 8,4,21.0,3,30,0.7,70.0
Elaine Hendrix,Alan Bersten (Rashad Jennings week 9),34,5,5th Place,4,24.0,3,30,0.8,80.0
Jordan Chiles,Ezra Sosa (Apolo Anton Ohno week 9),34,3,3rd Place,4,24.0,3,30,0.8,80.0
Andy Richter,Emma Slater/Kaitlyn Bristowe (week 9),34,7,Eliminated Week 9,4,18.0,3,30,0.6,60.0
Robert Irwin,Witney Carson (Xoshitl Gomez week 9),34,1,1st Place,4,22.0,3,30,0.7333,73.33
Hilaria Baldwin,Gleb Savchenko,34,11,Eliminated Week 4,4,23.0,3,30,0.7667,76.67
Scott Hoying,Rylee Arnold,34,10,Eliminated Week 6,4,21.0,3,30,0.7,70.0
Alix Earle,Val Chmerkovskiy (Joey Graziadei week 9),34,2,2nd Place,4,24.0,3,30,0.8,80.0
Jen Affleck,Jan Ravnik,34,9,Eliminated Week 7,4,23.0,3,30,0.7667,76.67
Whitney Leavitt,Mark Ballas,34,6,Eliminated Week 10,4,25.0,3,30,0.8333,83.33
Dylan Efron,Daniella Karagach (Rumer Willis week 9),34,4,4th Place,4,23.0,3,30,0.7667,76.67
John O'Hurley,Charlotte Jorgensen,1,2,2nd Place,5,27.0,3,30,0.9,90.0
Kelly Monaco,Alec Mazo,1,1,1st Place,5,23.5,3,30,0.7833,78.33
Joey McIntyre,Ashly DelGrosso,1,3,3rd Place,5,22.5,3,30,0.75,75.0
Tia Carrere,Maksim Chmerkoskiy,2,6,Eliminated Week 5,5,22.0,3,30,0.7333,73.33
George Hamilton,Edyta Sliwinska,2,5,Eliminated Week 6,5,24.0,3,30,0.8,80.0
Lisa Rinna,Louis van Amstel,2,4,Eliminated Week 7,5,25.0,3,30,0.8333,83.33
Stacy Keibler,Tony Dovolani,2,3,3rd Place,5,30.0,3,30,1.0,100.0
Jerry Rice,Anna Trebunskaya,2,2,2nd Place,5,23.0,3,30,0.7667,76.67
Drew Lachey,Cheryl Burke,2,1,1st Place,5,27.0,3,30,0.9,90.0
Monique Coleman,Louis van Amstel,3,4,Eliminated Week 8,5,27.0,3,30,0.9,90.0
Joey Lawrence,Edyta Sliwinska,3,3,3rd Place,5,25.0,3,30,0.8333,83.33
Mario Lopez,Karina Smirnoff,3,2,2nd Place,5,27.0,3,30,0.9,90.0
Emmitt Smith,Cheryl Burke,3,1,1st Place,5,27.0,3,30,0.9,90.0
Willa Ford,Maksim Chmerkoskiy,3,7,Eliminated Week 5,5,27.0,3,30,0.9,90.0
Sara Evans,Tony Dovolani,3,6,Withdrew,5,24.0,3,30,0.8,80.0
Jerry Springer,Kym Johnson,3,5,Eliminated Week 7,5,24.0,3,30,0.8,80.0
John Ratzenberger,Edyta Sliwinska,4,6,Eliminated Week 7,5,18.0,3,30,0.6,60.0
Ian Ziering,Cheryl Burke,4,4,Eliminated Week 9,5,24.0,3,30,0.8,80.0
Clyde Drexler,Elena Grinenko,4,8,Eliminated Week 5,5,13.0,3,30,0.4333,43.33
Laila Ali,Maksim Chmerkoskiy,4,3,3rd Place,5,28.0,3,30,0.9333,93.33
Apolo Anton Ohno,Julianne Hough,4,1,1st Place,5,30.0,3,30,1.0,100.0
Heather Mills,Jonathan Roberts,4,7,Eliminated Week 6,5,21.0,3,30,0.7,70.0
Billy Ray Cyrus,Karina Smirnoff,4,5,Eliminated Week 8,5,17.0,3,30,0.5667,56.67
Joey Fatone,Kym Johnson,4,2,2nd Place,5,25.0,3,30,0.8333,83.33
Cameron Mathison,Edyta Sliwinska,5,5,Eliminated Week 8,5,26.0,3,30,0.8667,86.67
Jane Seymour,Tony Dovolani,5,6,Eliminated Week 7,5,26.0,3,30,0.8667,86.67
Sabrina Bryan,Mark Ballas,5,7,Eliminated Week 6,5,28.0,3,30,0.9333,93.33
Jennie Garth,Derek Hough,5,4,Eliminated Week 9,5,25.0,3,30,0.8333,83.33
Helio Castroneves,Julianne Hough,5,1,1st Place,5,23.0,3,30,0.7667,76.67
Mel B,Maksim Chmerkoskiy,5,2,2nd Place,5,29.0,3,30,0.9667,96.67
Marie Osmond,Jonathan Roberts,5,3,3rd Place,5,21.0,3,30,0.7,70.0
Mark Cuban,Kym Johnson,5,8,Eliminated Week 5,5,21.0,3,30,0.7,70.0
Cristian de la Fuente,Cheryl Burke,6,3,3rd Place,5,23.0,3,30,0.7667,76.67
Priscilla Presley,Louis van Amstel,6,8,Eliminated Week 5,5,21.0,3,30,0.7,70.0
Marlee Matlin,Fabian Sanchez,6,7,Eliminated Week 6,5,22.0,3,30,0.7333,73.33
Shannon Elizabeth,Derek Hough,6,6,Eliminated Week 7,5,23.0,3,30,0.7667,76.67
Marissa Jaret Winokur,Tony Dovolani,6,4,Eliminated Week 9,5,24.0,3,30,0.8,80.0
Jason Taylor,Edyta Sliwinska,6,2,2nd Place,5,27.0,3,30,0.9,90.0
Kristi Yamaguchi,Mark Ballas,6,1,1st Place,5,29.0,3,30,0.9667,96.67
Mario,Karina Smirnoff,6,5,Eliminated Week 8,5,27.0,3,30,0.9,90.0
Cloris Leachman,Corky Ballas,7,7,Eliminated Week 6,5,21.0,3,30,0.7,70.0
Susan Lucci,Tony Dovolani,7,6,Eliminated Week 7,5,22.0,3,30,0.7333,73.33
Cody Linley,Julianne Hough,7,4,Eliminated Week 9,5,28.0,3,30,0.9333,93.33
Maurice Greene,Cheryl Burke,7,5,Eliminated Week 8,5,27.0,3,30,0.9,90.0
Warren Sapp,Kym Johnson,7,2,2nd Place,5,25.0,3,30,0.8333,83.33
Toni Braxton,Alec Mazo,7,8,Eliminated Week 5,5,22.0,3,30,0.7333,73.33
Lance Bass,Lacey Schwimmer,7,3,3rd Place,5,21.0,3,30,0.7,70.0
Brooke Burke,Derek Hough,7,1,1st Place,5,29.0,3,30,0.9667,96.67
Gilles Marini,Cheryl Burke,8,2,2nd Place,5,29.0,3,30,0.9667,96.67
David Alan Grier,Kym Johnson,8,9,Eliminated Week 5,5,22.0,3,30,0.7333,73.33
Lawrence Taylor,Edyta Sliwinska,8,7,Eliminated Week 7,5,20.0,3,30,0.6667,66.67
Ty Murray,Chelsie Hightower,8,4,Eliminated Week 10,5,21.0,3,30,0.7,70.0
Shawn Johnson,Mark Ballas,8,1,1st Place,5,26.0,3,30,0.8667,86.67
Chuck Wicks,Julianne Hough,8,6,Eliminated Week 8,5,23.0,3,30,0.7667,76.67
Lil' Kim,Derek Hough,8,5,Eliminated Week 9,5,26.0,3,30,0.8667,86.67
Steve-O,Lacey Schwimmer,8,8,Eliminated Week 6,5,18.0,3,30,0.6,60.0
Melissa Rycroft,Tony Dovolani,8,3,3rd Place,5,25.0,3,30,0.8333,83.33
Melissa Joan Hart,Mark Ballas,9,9,Eliminated Week 6,5,23.0,3,30,0.7667,76.67
Mark Dacascos,Lacey Schwimmer,9,6,Eliminated Week 7,5,26.0,3,30,0.8667,86.67
Natalie Coughlin,Alec Mazo,9,10,Eliminated Week 5,5,22.0,3,30,0.7333,73.33
Louie Vito,Chelsie Hightower,9,8,Eliminated Week 6,5,22.0,3,30,0.7333,73.33
Michael Irvin,Anna Demidova,9,7,Eliminated Week 7,5,21.0,3,30,0.7,70.0
Joanna Krupa,Derek Hough,9,4,Eliminated Week 9,5,24.0,3,30,0.8,80.0
Aaron Carter,Karina Smirnoff,9,5,Eliminated Week 8,5,24.0,3,30,0.8,80.0
Mya,Dmitry Chaplin,9,2,2nd Place,5,27.0,3,30,0.9,90.0
Donny Osmond,Kym Johnson,9,1,1st Place,5,29.0,3,30,0.9667,96.67
Kelly Osbourne,Louis van Amstel,9,3,3rd Place,5,24.0,3,30,0.8,80.0
Niecy Nash,Louis van Amstel,10,5,Eliminated Week 8,5,18.0,3,30,0.6,60.0
Chad Ochocinco,Cheryl Burke,10,4,Eliminated Week 9,5,18.0,3,30,0.6,60.0
Evan Lysacek,Anna Trebunskaya,10,2,2nd Place,5,27.0,3,30,0.9,90.0
Pamela Anderson,Damian Whitewood,10,6,Eliminated Week 7,5,21.0,3,30,0.7,70.0
Nicole Scherzinger,Derek Hough,10,1,1st Place,5,29.0,3,30,0.9667,96.67
Erin Andrews,Maksim Chmerkoskiy,10,3,3rd Place,5,22.0,3,30,0.7333,73.33
Kate Gosselin,Tony Dovolani,10,8,Eliminated Week 5,5,15.0,3,30,0.5,50.0
Jake Pavelka,Chelsie Hightower,10,7,Eliminated Week 6,5,23.0,3,30,0.7667,76.67
Florence Henderson,Corky Ballas,11,8,Eliminated Week 5,5,21.0,3,30,0.7,70.0
Kyle Massey,Lacey Schwimmer,11,2,2nd Place,5,20.0,3,30,0.6667,66.67
Jennifer Grey,Derek Hough,11,1,1st Place,5,25.0,3,30,0.8333,83.33
Rick Fox,Cheryl Burke,11,6,Eliminated Week 7,5,24.0,3,30,0.8,80.0
Kurt Warner,Anna Trebunskaya,11,5,Eliminated Week 8,5,24.0,3,30,0.8,80.0
Brandy,Maksim Chmerkoskiy,11,4,Eliminated Week 9,5,27.0,3,30,0.9,90.0
Audrina Patridge,Tony Dovolani,11,7,Eliminated Week 6,5,23.0,3,30,0.7667,76.67
Bristol Palin,Mark Ballas,11,3,3rd Place,5,18.0,3,30,0.6,60.0
Ralph Macchio,Karina Smirnoff,12,4,Eliminated Week 9,5,22.0,3,30,0.7333,73.33
Chelsea Kane,Mark Ballas,12,3,3rd Place,5,26.0,3,30,0.8667,86.67
Kirstie Alley,Maksim Chmerkoskiy,12,2,2nd Place,5,23.0,3,30,0.7667,76.67
Hines Ward,Kym Johnson,12,1,1st Place,5,27.0,3,30,0.9,90.0
Chris Jericho,Cheryl Burke,12,7,Eliminated Week 6,5,26.0,3,30,0.8667,86.67
Petra Nemcova,Dmitry Chaplin,12,8,Eliminated Week 5,5,22.0,3,30,0.7333,73.33
Romeo,Chelsie Hightower,12,5,Eliminated Week 8,5,26.0,3,30,0.8667,86.67
Kendra Wilkinson,Louis van Amstel,12,6,Eliminated Week 7,5,22.0,3,30,0.7333,73.33
David Arquette,Kym Johnson,13,6,Eliminated Week 7,5,25.0,3,30,0.8333,83.33
Ricki Lake,Derek Hough,13,3,3rd Place,5,24.0,3,30,0.8,80.0
J.R. Martinez,Karina Smirnoff,13,1,1st Place,5,28.0,3,30,0.9333,93.33
Hope Solo,Maksim Chmerkoskiy,13,4,Eliminated Week 9,5,24.0,3,30,0.8,80.0
Carson Kressley,Anna Trebunskaya,13,8,Eliminated Week 5,5,19.0,3,30,0.6333,63.33
Chaz Bono,Lacey Schwimmer,13,7,Eliminated Week 6,5,21.0,3,30,0.7,70.0
Nancy Grace,Tristan MacManus,13,5,Eliminated Week 8,5,22.0,3,30,0.7333,73.33
Rob Kardashian,Cheryl Burke,13,2,2nd Place,5,25.0,3,30,0.8333,83.33
William Levy,Cheryl Burke,14,3,3rd Place,5,29.0,3,30,0.9667,96.67
Jaleel White,Kym Johnson,14,7,Eliminated Week 7,5,24.0,3,30,0.8,80.0
Roshon Fegan,Chelsie Hightower,14,6,Eliminated Week 8,5,26.0,3,30,0.8667,86.67
Melissa Gilbert,Maksim Chmerkoskiy,14,5,Eliminated Week 8,5,21.0,3,30,0.7,70.0
Donald Driver,Peta Murgatroyd,14,1,1st Place,5,27.0,3,30,0.9,90.0
Gavin DeGraw,Karina Smirnoff,14,9,Eliminated Week 5,5,19.0,3,30,0.6333,63.33
Gladys Knight,Tristan MacManus,14,8,Eliminated Week 6,5,22.0,3,30,0.7333,73.33
Katherine Jenkins,Mark Ballas,14,2,2nd Place,5,29.0,3,30,0.9667,96.67
Maria Menounos,Derek Hough,14,4,Eliminated Week 9,5,27.0,3,30,0.9,90.0
Gilles Marini,Peta Murgatroyd,15,6,Eliminated Week 8,5,28.25,3,30,0.9417,94.17
Sabrina Bryan,Louis van Amstel,15,8,Eliminated Week 6,5,29.25,3,30,0.975,97.5
Kirstie Alley,Maksim Chmerkoskiy,15,7,Eliminated Week 8,5,26.25,3,30,0.875,87.5
Kelly Monaco,Valentin Chmerkovskiy,15,3,3rd Place,5,25.75,3,30,0.8583,85.83
Apolo Anton Ohno,Karina Smirnoff,15,5,Eliminated Week 9,5,28.25,3,30,0.9417,94.17
Emmitt Smith,Cheryl Burke,15,4,Eliminated Week 9,5,28.0,3,30,0.9333,93.33
Shawn Johnson,Derek Hough,15,2,2nd Place,5,28.25,3,30,0.9417,94.17
Melissa Rycroft,Tony Dovolani,15,1,1st Place,5,28.25,3,30,0.9417,94.17
Ingo Rademacher,Kym Johnson,16,5,Eliminated Week 9,5,21.0,3,30,0.7,70.0
Zendaya,Valentin Chmerkovskiy,16,2,2nd Place,5,29.0,3,30,0.9667,96.67
Victor Ortiz,Lindsay Arnold,16,8,Eliminated Week 6,5,21.0,3,30,0.7,70.0
Alexandra Raisman,Mark Ballas,16,4,Eliminated Week 10,5,25.0,3,30,0.8333,83.33
Jacoby Jones,Karina Smirnoff,16,3,3rd Place,5,26.0,3,30,0.8667,86.67
D. L. Hughley,Cheryl Burke,16,9,Eliminated Week 5,5,18.0,3,30,0.6,60.0
Andy Dick,Sharna Burgess,16,7,Eliminated Week 7,5,18.0,3,30,0.6,60.0
Kellie Pickler,Derek Hough,16,1,1st Place,5,27.0,3,30,0.9,90.0
Sean Lowe,Peta Murgatroyd,16,6,Eliminated Week 8,5,24.0,3,30,0.8,80.0
Brant Daugherty,Peta Murgatroyd,17,7,Eliminated Week 8,5,27.0,3,30,0.9,90.0
Elizabeth Berkley Lauren,Valentin Chmerkovskiy,17,6,Eliminated Week 9,5,26.0,3,30,0.8667,86.67
Leah Remini,Tony Dovolani,17,5,Eliminated Week 10,5,22.0,3,30,0.7333,73.33
Corbin Bleu,Karina Smirnoff,17,2,2nd Place,5,28.0,3,30,0.9333,93.33
Amber Riley,Derek Hough,17,1,1st Place,5,26.0,3,30,0.8667,86.67
Bill Engvall,Emma Slater,17,4,Eliminated Week 11,5,24.0,3,30,0.8,80.0
Christina Milian,Mark Ballas,17,9,Eliminated Week 5,5,28.0,3,30,0.9333,93.33
